Sample ID,final_call,Fall,Late_fall,Spring,Winter,probability,tributary,Status,Notes
2025_ACHN_004,Missing,NA,NA,NA,NA,Data,NA,Rerunning,Not enough data to make a call. Samples are being rerun
2025_ACHN_005,Fall,1,0,0,0,1,NA,Complete,
2025_ACHN_006,Fall,1,0,0,0,1,NA,Complete,
2025_ACHN_007,Fall,1,0,0,0,1,NA,Complete,
2025Ad_min-W_001,Missing,NA,NA,NA,NA,Data,NA,Rerunning,Not enough data to make a call. Samples are being rerun
2025Ad_plus-F_001,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_002,Missing,NA,NA,NA,NA,Data,NA,Rerunning,Not enough data to make a call. Samples are being rerun
2025Ad_plus-F_003,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_004,Missing,NA,NA,NA,NA,Data,NA,Rerunning,Not enough data to make a call. Samples are being rerun
2025Ad_plus-F_005,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_006,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_007,Missing,NA,NA,NA,NA,Data,NA,Rerunning,Not enough data to make a call. Samples are being rerun
2025Ad_plus-F_008,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_009,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_010,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_011,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_012,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_013,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_014,Missing,NA,NA,NA,NA,Data,NA,Rerunning,Not enough data to make a call. Samples are being rerun
2025Ad_plus-F_015,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_016,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_017,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_018,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_019,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_020,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_021,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_022,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_023,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_024,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_025,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_026,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_027,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_028,Missing,NA,NA,NA,NA,Data,NA,Rerunning,Not enough data to make a call. Samples are being rerun
2025Ad_plus-F_029,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_030,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_031,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_032,Missing,NA,NA,NA,NA,Data,NA,Rerunning,Not enough data to make a call. Samples are being rerun
2025Ad_plus-F_033,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_034,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_035,Missing,NA,NA,NA,NA,Data,NA,Rerunning,Not enough data to make a call. Samples are being rerun
2025Ad_plus-F_036,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_037,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_038,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_039,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_040,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_041,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_042,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_043,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_044,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_045,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_046,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_047,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_048,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_049,Missing,NA,NA,NA,NA,Data,NA,Rerunning,Not enough data to make a call. Samples are being rerun
2025Ad_plus-F_050,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_051,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_052,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_053,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_054,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_055,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_056,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_057,Missing,NA,NA,NA,NA,Data,NA,Rerunning,Not enough data to make a call. Samples are being rerun
2025Ad_plus-F_058,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_059,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_060,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_061,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_062,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_063,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_064,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_065,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_066,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_067,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_068,Missing,NA,NA,NA,NA,Data,NA,Rerunning,Not enough data to make a call. Samples are being rerun
2025Ad_plus-F_069,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_070,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_071,Spring,1,0,0,0,1,Feather,Complete,"Feather River Spring always come up as fall in GSI, but for runtype (Ots28) they are spring"
2025Ad_plus-F_072,Spring,1,0,0,0,1,Feather,Complete,"Feather River Spring always come up as fall in GSI, but for runtype (Ots28) they are spring"
2025Ad_plus-F_073,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_074,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_075,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_076,Missing,NA,NA,NA,NA,Data,NA,Rerunning,Not enough data to make a call. Samples are being rerun
2025Ad_plus-F_077,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_078,Spring,1,0,0,0,1,Feather,Complete,"Feather River Spring always come up as fall in GSI, but for runtype (Ots28) they are spring"
2025Ad_plus-F_079,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_080,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_081,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_082,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_083,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_084,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_085,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_086,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_087,Fall,1,0,0,0,0.998,NA,Complete,
2025Ad_plus-F_088,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_089,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_090,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_091,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_092,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_093,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_094,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_095,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_096,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_097,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_098,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_099,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_100,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_101,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_102,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_103,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_104,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_105,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_106,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_107,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_108,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_109,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_110,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_111,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_112,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_113,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_114,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_115,Missing,NA,NA,NA,NA,Data,NA,Rerunning,Not enough data to make a call. Samples are being rerun
2025Ad_plus-F_116,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_117,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_118,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_119,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_120,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_121,Missing,NA,NA,NA,NA,Data,NA,Rerunning,Not enough data to make a call. Samples are being rerun
2025Ad_plus-F_122,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_123,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_124,Spring,1,0,0,0,1,Feather,Complete,"Feather River Spring always come up as fall in GSI, but for runtype (Ots28) they are spring"
2025Ad_plus-F_125,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_126,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_127,Spring,1,0,0,0,1,Feather,Complete,"Feather River Spring always come up as fall in GSI, but for runtype (Ots28) they are spring"
2025Ad_plus-F_128,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_129,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_130,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_131,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_132,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_133,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_134,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_135,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_136,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_137,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_138,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_139,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_140,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_141,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_142,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_143,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_144,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_145,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_146,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_147,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_148,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_149,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_150,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_151,Fall,1,0,0,0,1,Late,Complete,
2025Ad_plus-F_152,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_153,Missing,NA,NA,NA,NA,Data,NA,Rerunning,Not enough data to make a call. Samples are being rerun
2025Ad_plus-F_154,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_155,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_156,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_157,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_158,Missing,NA,NA,NA,NA,Data,NA,Rerunning,Not enough data to make a call. Samples are being rerun
2025Ad_plus-F_159,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_160,Missing,NA,NA,NA,NA,Data,NA,Rerunning,Not enough data to make a call. Samples are being rerun
2025Ad_plus-F_161,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_162,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_163,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_164,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_165,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_166,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_167,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_168,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_169,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_170,Fall,0.98,0.02,0,0,0.984,NA,Complete,
2025Ad_plus-F_171,Missing,NA,NA,NA,NA,Data,NA,Rerunning,Not enough data to make a call. Samples are being rerun
2025Ad_plus-F_172,Missing,NA,NA,NA,NA,Data,NA,Rerunning,Not enough data to make a call. Samples are being rerun
2025Ad_plus-F_173,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_174,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_175,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_176,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_177,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_178,Missing,NA,NA,NA,NA,Data,NA,Rerunning,Not enough data to make a call. Samples are being rerun
2025Ad_plus-F_179,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_180,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_181,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_182,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_183,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_184,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_185,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_186,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_187,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_188,Spring,1,0,0,0,1,Feather,Complete,"Feather River Spring always come up as fall in GSI, but for runtype (Ots28) they are spring"
2025Ad_plus-F_189,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_190,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_191,Missing,NA,NA,NA,NA,Data,NA,Rerunning,Not enough data to make a call. Samples are being rerun
2025Ad_plus-F_192,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_193,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_194,Missing,NA,NA,NA,NA,Data,NA,Rerunning,Not enough data to make a call. Samples are being rerun
2025Ad_plus-F_195,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_196,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_197,Missing,NA,NA,NA,NA,Data,NA,Rerunning,Not enough data to make a call. Samples are being rerun
2025Ad_plus-F_198,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_199,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_200,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_201,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_202,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_203,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_204,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-F_205,Missing,NA,NA,NA,NA,Data,NA,Rerunning,Not enough data to make a call. Samples are being rerun
2025Ad_plus-F_206,Missing,NA,NA,NA,NA,Data,NA,Rerunning,Not enough data to make a call. Samples are being rerun
2025Ad_plus-F_207,Missing,NA,NA,NA,NA,Data,NA,Rerunning,Not enough data to make a call. Samples are being rerun
2025Ad_plus-F_208,Missing,NA,NA,NA,NA,Data,NA,Rerunning,Not enough data to make a call. Samples are being rerun
2025Ad_plus-F_209,Missing,NA,NA,NA,NA,Data,NA,Rerunning,Not enough data to make a call. Samples are being rerun
2025Ad_plus-S_001,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-S_002,Fall,1,0,0,0,1,NA,Complete,
2025Ad_plus-S_003,Missing,NA,NA,NA,NA,Data,NA,Rerunning,Not enough data to make a call. Samples are being rerun
2025Ad_plus-S_004,Missing,NA,NA,NA,NA,Data,NA,Rerunning,Not enough data to make a call. Samples are being rerun
2025Ad_plus-S_005,Missing,NA,NA,NA,NA,Data,NA,Rerunning,Not enough data to make a call. Samples are being rerun
2025Ad_plus-S_006,Spring,1,0,0,0,1,Feather,Complete,"Feather River Spring always come up as fall in GSI, but for runtype (Ots28) they are spring"
2025Ad_plus-S_007,Missing,NA,NA,NA,NA,Data,NA,Rerunning,Not enough data to make a call. Samples are being rerun
2025Ad_plus-S_008,Missing,NA,NA,NA,NA,Data,NA,Rerunning,Not enough data to make a call. Samples are being rerun
2025Ad_plus-S_009,Missing,NA,NA,NA,NA,Data,NA,Rerunning,Not enough data to make a call. Samples are being rerun
2025Ad_plus-S_010,Missing,NA,NA,NA,NA,Data,NA,Rerunning,Not enough data to make a call. Samples are being rerun
2025Ad_plus-S_011,Fall,1,0,0,0,1,NA,Complete,
